,Team,salarycap,season,Pick
0,MIA,89773532,2012/13,27
1,BOS,84282350,2012/13,21
2,BOS,84282350,2012/13,22
3,CHI,83147049,2012/13,29
4,GS,78175171,2012/13,7
5,GS,78175171,2012/13,30
6,DAL,77873331,2012/13,17
7,OKC,76932970,2012/13,28
8,DET,76802817,2012/13,9
9,ATL,74461791,2012/13,23
10,PHI,74448020,2012/13,15
11,ORL,74291370,2012/13,19
12,IND,73788745,2012/13,26
13,NO,71586865,2012/13,1
14,NO,71586865,2012/13,10
15,TOR,71110922,2012/13,8
16,DEN,70816373,2012/13,20
17,MEM,70380900,2012/13,25
18,MIL,69661986,2012/13,14
19,WAS,66654386,2012/13,3
20,POR,66349730,2012/13,6
21,POR,66349730,2012/13,11
22,CHA,64876315,2012/13,2
23,CLE,60801765,2012/13,4
24,CLE,60801765,2012/13,24
25,SAC,60745677,2012/13,5
26,PHO,60493782,2012/13,13
27,HOU,53631389,2012/13,12
28,HOU,53631389,2012/13,16
29,HOU,53631389,2012/13,18
30,BKN,112536402,2013/14,22
31,NY,97708684,2013/14,24
32,DAL,82284830,2013/14,13
33,CHI,80447143,2013/14,20
34,LAC,80132187,2013/14,25
35,OKC,78600431,2013/14,12
36,OKC,78600431,2013/14,29
37,BOS,77758083,2013/14,16
38,MIN,75211546,2013/14,9
39,MIN,75211546,2013/14,26
40,NO,73889290,2013/14,6
41,IND,73695967,2013/14,23
42,CLE,73116388,2013/14,1
43,CLE,73116388,2013/14,19
44,DEN,72159850,2013/14,27
45,WAS,70971580,2013/14,3
46,SA,69235205,2013/14,28
47,DET,68436097,2013/14,8
48,POR,67199740,2013/14,10
49,CHA,66251205,2013/14,4
50,SAC,64911282,2013/14,7
51,ATL,64718790,2013/14,17
52,ATL,64718790,2013/14,18
53,ORL,62469324,2013/14,2
54,UTA,62429802,2013/14,14
55,UTA,62429802,2013/14,21
56,PHO,60957107,2013/14,5
57,PHO,60957107,2013/14,30
58,MIL,59675181,2013/14,15
59,PHI,56757794,2013/14,11
60,LAC,91626808,2014/15,28
61,CLE,88761039,2014/15,1
62,TOR,87390965,2014/15,20
63,OKC,86413604,2014/15,21
64,OKC,86413604,2014/15,29
65,LAL,83337839,2014/15,7
66,HOU,82588574,2014/15,25
67,MIA,81474926,2014/15,26
68,MEM,80771746,2014/15,22
69,SAC,78859179,2014/15,8
70,SA,76055480,2014/15,30
71,MIN,74560321,2014/15,13
72,CHI,72449358,2014/15,16
73,CHI,72449358,2014/15,19
74,CHA,71781177,2014/15,9
75,CHA,71781177,2014/15,24
76,BOS,66865124,2014/15,6
77,BOS,66865124,2014/15,17
78,UTA,65391761,2014/15,5
79,UTA,65391761,2014/15,23
80,ORL,64082446,2014/15,4
81,ORL,64082446,2014/15,12
82,ATL,62675759,2014/15,15
83,PHO,62351628,2014/15,14
84,PHO,62351628,2014/15,18
85,PHO,62351628,2014/15,27
86,DEN,61063768,2014/15,11
87,MIL,58541453,2014/15,2
88,PHI,58414953,2014/15,3
89,PHI,58414953,2014/15,10
90,CLE,116244698,2015/16,24
91,OKC,102728953,2015/16,14
92,GS,100540577,2015/16,30
93,SA,94275703,2015/16,26
94,HOU,93922804,2015/16,18
95,CHI,93461027,2015/16,22
96,MIA,92055943,2015/16,10
97,WAS,91294262,2015/16,19
98,MEM,89328654,2015/16,25
99,BKN,86145542,2015/16,29
100,DET,82923025,2015/16,8
101,BOS,82800561,2015/16,16
102,BOS,82800561,2015/16,28
103,DAL,80927720,2015/16,21
104,NY,79682579,2015/16,4
105,MIL,79260236,2015/16,17
106,LAL,78026750,2015/16,2
107,LAL,78026750,2015/16,27
108,DEN,77913691,2015/16,7
109,MIN,77589778,2015/16,1
110,ATL,76918414,2015/16,15
111,IND,76857739,2015/16,11
112,TOR,76842665,2015/16,20
113,SAC,75790104,2015/16,6
114,PHO,73090409,2015/16,13
115,PHI,69320632,2015/16,3
116,UTA,68274335,2015/16,12
117,ORL,67835576,2015/16,5
118,POR,66210692,2015/16,23
119,LAC,121958281,2016/17,25
120,SA,119047406,2016/17,29
121,MEM,116991763,2016/17,17
122,TOR,115415114,2016/17,9
123,TOR,115415114,2016/17,27
124,DET,113175909,2016/17,18
125,ORL,110629512,2016/17,11
126,NO,107993343,2016/17,6
127,GS,107959743,2016/17,30
128,ATL,102359377,2016/17,21
129,MIL,102285744,2016/17,10
130,SAC,101595433,2016/17,8
131,LAL,100729840,2016/17,2
132,BOS,99330698,2016/17,3
133,BOS,99330698,2016/17,16
134,BOS,99330698,2016/17,23
135,CHI,98328502,2016/17,14
136,IND,95944493,2016/17,20
137,PHO,95387098,2016/17,4
138,PHO,95387098,2016/17,13
139,PHO,95387098,2016/17,28
140,PHI,90095374,2016/17,1
141,PHI,90095374,2016/17,24
142,PHI,90095374,2016/17,26
143,DEN,89097579,2016/17,7
144,DEN,89097579,2016/17,15
145,DEN,89097579,2016/17,19
146,MIN,88769315,2016/17,5
147,UTA,85167228,2016/17,12
148,OKC,140679326,2017/18,21
149,MIA,139727484,2017/18,14
150,MIL,126025887,2017/18,17
151,DET,125243666,2017/18,12
152,POR,124129975,2017/18,15
153,POR,124129975,2017/18,20
154,POR,124129975,2017/18,26
155,TOR,122269961,2017/18,23
156,MIN,121376702,2017/18,7
157,BOS,120550249,2017/18,3
158,SA,119869587,2017/18,29
159,DEN,112455503,2017/18,13
160,UTA,110430283,2017/18,24
161,UTA,110430283,2017/18,30
162,NY,110217272,2017/18,8
163,LAL,107836717,2017/18,2
164,LAL,107836717,2017/18,28
165,PHI,105401164,2017/18,1
166,ATL,104559718,2017/18,19
167,SAC,104135688,2017/18,5
168,SAC,104135688,2017/18,10
169,ORL,103208254,2017/18,6
170,ORL,103208254,2017/18,25
171,BKN,99836100,2017/18,22
172,BKN,99836100,2017/18,27
173,IND,99623136,2017/18,18
174,PHO,96917295,2017/18,4
175,CHI,94598740,2017/18,16
176,DAL,89342606,2017/18,9
